Region,SbWtrshd,Site_ID,Date,Site_Visit,O,H,Opm,Hpm,P(18O),P(2H),Ps(18O),Ps(2H),18O_snow,2H_snow,18O_rain,2H_rain
Parkland,05CD,67,04-May-15,1,-14.669305,-131.352941,-0.01467,-0.131352941,-0.0191,-0.147583333,-0.01355,-0.10475,-24.3,-187.559,-13.55,-100.1615
Parkland,05CD,67,20-May-15,2,-10.407459,-108.991702,-0.01041,-0.108991702,-0.0191,-0.147583333,-0.01355,-0.10475,-24.3,-187.559,-13.55,-100.1615
Parkland,05CD,90,04-May-15,1,-16.234137,-141.910705,-0.01623,-0.141910705,-0.019125,-0.14775,-0.013625,-0.10525,-24.3,-187.559,-13.625,-100.77125
Parkland,05CD,90,20-May-15,2,-13.593343,-127.637161,-0.01359,-0.127637161,-0.019125,-0.14775,-0.013625,-0.10525,-24.3,-187.559,-13.625,-100.77125
Parkland,05CD,90,16-Jun-15,3,-8.24575,-100.618109,-0.00825,-0.100618109,-0.019125,-0.14775,-0.013625,-0.10525,-24.4,-188.372,-13.625,-100.77125
Parkland,05CD,90,27-Jun-15,4,-6.686003,-92.407139,-0.00669,-0.092407139,-0.019125,-0.14775,-0.013625,-0.10525,-24.4,-188.372,-13.625,-100.77125
Parkland,05CD,90,24-Jul-15,5,-9.948575,-97.447225,-0.00995,-0.097447225,-0.019125,-0.14775,-0.013625,-0.10525,-24.4,-188.372,-13.625,-100.77125
Parkland,05CD,195,03-May-15,1,-12.052721,-117.611973,-0.01205,-0.117611973,-0.019241667,-0.1485,-0.013725,-0.106,-24.4,-188.372,-13.725,-101.58425
Parkland,05CD,195,20-May-15,2,-6.282048,-93.40781,-0.00628,-0.09340781,-0.019241667,-0.1485,-0.013725,-0.106,-24.4,-188.372,-13.725,-101.58425
Parkland,05CD,195,16-Jun-15,3,-6.652691,-80.063826,-0.00665,-0.080063826,-0.019241667,-0.1485,-0.013725,-0.106,-23.83333333,-183.765,-13.725,-101.58425
Parkland,05CD,195,27-Jun-15,4,-5.318088,-80.253335,-0.00532,-0.080253335,-0.019241667,-0.1485,-0.013725,-0.106,-23.83333333,-183.765,-13.725,-101.58425
