"","Site_ID","Site_Visit","X","Region","SbWtrshd","Date","O","H","Opm","Hpm","P.18O.","P.2H.","Ps.18O.","Ps.2H.","met_station","rh","temp","EI","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","X2","per.rain"
"145","Caine-01",1,150,"Restored","","2015-05-04",-12.27786,-121.03987,-0.01228,-0.12103987,-0.019125,-0.147833333,-0.01355,-0.10475,"Stettler",0.562935484,279.0080645,0.446030333,0.006415581,-0.01563728,-0.00503253,-0.080152408,-0.035294008,-0.231614629,4.804671892,-62.03849917,-22.54494585,-170.3595668,-25.5896663665771,25.2890771544092
"146","Caine-01",2,151,"Restored","","2015-05-21",-8.400725,-102.393204,-0.0084,-0.102393204,-0.019125,-0.147833333,-0.01355,-0.10475,"Stettler",0.558709677,280.9467742,0.804453609,0.006598703,-0.016351675,-0.005040599,-0.080974955,-0.026549521,-0.191410616,4.904670003,-61.19397597,-23.00044779,-174.0035823,-25.5896663665771,21.5057336120624
"147","Colli-02",1,152,"Restored","","2015-05-07",-15.260564,-133.915088,-0.01526,-0.133915088,-0.01925,-0.14875,-0.013875,-0.10725,"Delburne",0.523064516,279.8306452,0.238270712,0.009563787,-0.002273205,-0.004528441,-0.080194499,-0.041192368,-0.249734203,4.466198901,-65.76089277,-21.43892388,-161.511391,-25.7201277414958,47.1469033797905
"148","Colli-02",2,153,"Restored","","2015-05-25",-11.3797,-112.546985,-0.01138,-0.112546985,-0.01925,-0.14875,-0.013875,-0.10725,"Delburne",0.531903226,282.1435484,0.406270271,0.008505272,-0.009554477,-0.004814497,-0.082014463,-0.032930966,-0.207402928,4.401470562,-62.45825001,-20.13551681,-151.0841345,-25.7201277414958,56.9494159853099
"149","Colli-02",3,154,"Restored","","2015-06-17",-6.622346,-88.302746,-0.00662,-0.088302746,-0.01925,-0.14875,-0.013875,-0.10725,"Delburne",0.555,287.1725806,0.816970207,0.006055714,-0.024924244,-0.005483564,-0.085829021,-0.021742212,-0.153779341,4.329829192,-59.63927675,-18.97439667,-141.7951733,-25.7201277414958,36.1431632898131
"150","Colli-02",4,155,"Restored","","2015-06-23",-4.499448,-85.852678,-0.0045,-0.085852678,-0.01925,-0.14875,-0.013875,-0.10725,"Delburne",0.625709677,287.2854839,1.5,0.000911702,-0.04732504,-0.006820998,-0.089279331,-0.013198392,-0.14046603,6.27855684,-57.59917222,-39.26889588,-304.151167,-25.7201277414958,-114.382625786637
"151","Forbs-10",1,156,"Restored","","2015-05-02",-13.505779,-130.467108,-0.01351,-0.130467108,-0.019108333,-0.147666667,-0.01345,-0.10375,"New Sarepta",0.584032258,278.4080645,0.444945999,0.004884686,-0.021901853,-0.005351306,-0.080362381,-0.038232197,-0.255455835,5.055728891,-62.16421068,-24.51004273,-186.0803418,-25.5902010599772,21.3273293183999
"152","Forbs-10",2,157,"Restored","","2015-05-23",-8.626932,-104.227864,-0.00863,-0.104227864,-0.019108333,-0.147666667,-0.01345,-0.10375,"New Sarepta",0.544032258,281.4596774,0.762684806,0.007912523,-0.009942888,-0.004719684,-0.079839683,-0.027472673,-0.195720835,4.855625924,-62.32381227,-23.0010204,-174.0081632,-25.5902010599772,8.89736771772414
"153","Forbs-10",3,158,"Restored","","2015-06-13",-4.03863,-78.638834,-0.00404,-0.078638834,-0.019108333,-0.147666667,-0.01345,-0.10375,"New Sarepta",0.49416129,287.3177419,1.027670248,0.01213384,0.00431033,-0.004059906,-0.080646143,-0.019069929,-0.144075831,4.35377943,-61.0495651,-19.48581106,-145.8864885,-25.5902010599772,50.2824456515934
"154","Gilbe-02",1,159,"Restored","","2015-05-05",-15.859596,-133.20263,-0.01586,-0.13320263,-0.0191,-0.147666667,-0.01355,-0.10475,"Stettler",0.554548387,279.333871,0.169304363,0.007091632,-0.012655112,-0.004873172,-0.07977979,-0.043150789,-0.255118964,4.467307031,-62.35114049,-20.48044965,-153.8435972,-25.5896663665771,42.4365307228168
"155","Gilbe-02",2,160,"Restored","","2015-05-20",-13.906555,-124.25136,-0.01391,-0.12425136,-0.0191,-0.147666667,-0.01355,-0.10475,"Stettler",0.561451613,280.7758065,0.26505995,0.006385814,-0.017218889,-0.005074401,-0.080949661,-0.038749058,-0.236299054,4.510947759,-61.50407668,-20.49383951,-153.9507161,-25.5896663665771,42.3253161792213
"156","Gilbe-02",3,161,"Restored","","2015-06-17",-10.888147,-108.704407,-0.01089,-0.108704407,-0.0191,-0.147666667,-0.01355,-0.10475,"Stettler",0.546322581,287.3016129,0.41236688,0.007103043,-0.019113714,-0.005078255,-0.083566837,-0.031601573,-0.197804017,4.301923773,-61.85645711,-19.43076689,-145.4461351,-25.5896663665771,26.6898397242772
"157","Gilbe-02",4,162,"Restored","","2015-06-25",-9.784391,-106.043686,-0.00978,-0.106043686,-0.0191,-0.147666667,-0.01355,-0.10475,"Stettler",0.637193548,287.5241935,0.724671553,0.000505736,-0.047912702,-0.006782856,-0.087898616,-0.02716208,-0.192933676,4.998825856,-57.15516913,-22.37629871,-169.0103897,-25.5896663665771,46.9298126255594
