"","Region","Site_ID","Site_Visit","X","SbWtrshd.x","Date","O","H","Opm","Hpm","P.18O.","P.2H.","Ps.18O.","Ps.2H.","X18O_snow","X2H_snow","X18O_rain","X2H_rain","met_station","rh","temp","EI","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","X2","per.rain","SbWtrshd.y","Y_Lat","X_Long"
"113","Parkland","10",4,181,"05FC","2014-06-27",-8.77,-103.62,-0.00877,-0.10362,-0.0191,-0.1475,-0.01355,-0.1045,-24.8,-191.624,-13.55,-100.1615,"Stettler",0.674806451612903,286.437096774194,1.45502546766189,-0.00162776733370705,-0.0561694782492038,-0.00745042145498163,-0.0890254703146365,-0.0230597034066936,-0.188068734257581,5.90976116537339,-51.7913945796754,-29.561882382074,-226.495059056592,-25.5553067525228,0,"05FC",52.514242,-112.650562
"114","Parkland","13",1,183,"05FC","2014-05-04",-17.91,-154.35,-0.01791,-0.15435,-0.019091667,-0.147416667,-0.0135,-0.1045,-24.8,-191.624,-13.5,-99.755,"Stettler",0.674741935483871,277.082258064516,0.244846585164064,-0.0010937657598768,-0.0497661180442858,-0.00709855379870282,-0.0853229768656891,-0.051496364673874,-0.336987031910491,5.43783269442555,-56.9584164428383,-26.133506698473,-199.068053587784,-25.7090892791748,0,"05FC",52.339546,-112.228337
"115","Parkland","13",2,184,"05FC","2014-05-29",-10.37,-119.42,-0.01037,-0.11942,-0.019091667,-0.147416667,-0.0135,-0.1045,-24.8,-191.624,-13.5,-99.755,"Stettler",0.607451612903226,282.391935483871,0.978780876746732,0.00282464320439569,-0.0348075322094207,-0.00599528843692718,-0.083951273472556,-0.0299622201482646,-0.228690548550717,5.57724176861068,-61.5840028595072,-29.5464904141334,-226.371923313067,-25.7090892791748,0,"05FC",52.339546,-112.228337
"116","Parkland","13",3,185,"05FC","2014-06-17",-5.775116,-91.566924,-0.00578,-0.09157,-0.019091667,-0.147416667,-0.0135,-0.1045,-24.8,-191.624,-13.5,-99.755,"Stettler",0.645709677419355,285.862903225806,1.5,0.000129409069685201,-0.0486387033655954,-0.00684956808020911,-0.0873798754661577,-0.016145927389473,-0.15810018395073,6.41816032960967,-54.4730332948561,-40.7582604619766,-316.066083695812,-25.7090892791748,0,"05FC",52.339546,-112.228337
"117","Parkland","18",2,187,"05FC","2014-05-31",-13.26,-133.21,-0.01326,-0.13321,-0.018991667,-0.146666667,-0.013425,-0.1035,-24.8,-191.624,-13.425,-99.14525,"Forestburg",0.604225806451613,282.788709677419,0.578875228477045,0.00309908390538268,-0.033083817005009,-0.00586374399288485,-0.0830349713125728,-0.0372212761077687,-0.260758580107911,5.32311299006971,-62.6255217516757,-27.1305891814862,-207.044713451889,-25.6549777984619,0,"05FC",52.584555,-112.206193
"118","Parkland","18",3,188,"05FC","2014-06-17",-10.98,-120.61,-0.01098,-0.12061,-0.018991667,-0.146666667,-0.013425,-0.1035,-24.8,-191.624,-13.425,-99.14525,"Forestburg",0.63858064516129,286.043548387097,0.935073161994347,0.000630758314372309,-0.0458376709753292,-0.00663718065425291,-0.0861703101594402,-0.0307166757863427,-0.232763669831213,5.68250049022035,-58.2161446173805,-29.4352358347928,-225.481886678342,-25.6549777984619,0,"05FC",52.584555,-112.206193
"119","Parkland","18",1,186,"05FC","2014-05-04",-19.38,-161.6,-0.01938,-0.1616,-0.018991667,-0.146666667,-0.013425,-0.1035,-24.8,-191.624,-13.425,-99.14525,"Forestburg",0.661483870967742,277.124193548387,0.170897116308491,-0.000245494957345877,-0.0451418001196297,-0.00675484637291248,-0.0836140524443502,-0.0553506353286012,-0.352464676362697,5.30612469363128,-58.7673034374257,-25.5272778494423,-194.218222795538,-25.6549777984619,1.04415519900351,"05FC",52.584555,-112.206193
"120","Parkland","182",1,198,"05FC","2014-05-14",-13.71,-136.32,-0.01371,-0.13632,-0.019025,-0.147083333,-0.0134,-0.10375,-24.93333333,-192.708,-13.4,-98.942,"Rosalind",0.626354838709677,278.15,0.596413083296111,0.00192823888077533,-0.0359606428358804,-0.0061016205813515,-0.0823753909811876,-0.0388784223676552,-0.276233448287831,5.55908694808137,-60.1049179418045,-28.720776385992,-219.766211087936,-25.5820903778076,0,"05FC",52.73044689,-112.4104907
"121","Parkland","182",2,199,"05FC","2014-06-02",-8.49,-107.36,-0.00849,-0.10736,-0.019025,-0.147083333,-0.0134,-0.10375,-24.93333333,-192.708,-13.4,-98.942,"Rosalind",0.61358064516129,282.953225806452,1.25765192761875,0.00246675735330295,-0.0364184624043292,-0.00604679255913728,-0.0839262401982412,-0.0251926764713717,-0.201670057878636,5.64640391857459,-59.4220307313018,-29.4961532606128,-225.969226084903,-25.5820903778076,0,"05FC",52.73044689,-112.4104907
"122","Parkland","182",4,201,"05FC","2014-07-01",-9.73,-95.29,-0.00973,-0.09529,-0.019025,-0.147083333,-0.0134,-0.10375,-24.93333333,-192.708,-13.4,-98.942,"Rosalind",0.679838709677419,287.162903225806,0.455686315459846,-0.00178450606159478,-0.056980168798644,-0.0074406305883324,-0.0888657360711207,-0.0260032515003062,-0.165237205023356,4.29829312366001,-53.4676079067881,-17.145498016726,-127.163984133808,-25.5820903778076,69.2540614905529,"05FC",52.73044689,-112.4104907
